iter	MultiClass
120	0.4933871961
121	0.4929705638
122	0.4927527212
123	0.4925624392
124	0.492391543
125	0.4921719799
126	0.4914528472
127	0.4911258214
128	0.4910384885
129	0.4908899993
130	0.4907688058
131	0.4905076237
132	0.4903903139
133	0.4899717029
134	0.4898128894
135	0.4896441945
136	0.4895273136
137	0.4894549537
138	0.4893295147
139	0.4892653752
140	0.4891514929
141	0.4890391428
142	0.4889751118
143	0.4888631589
144	0.4886963891
145	0.4886325279
146	0.4885111951
147	0.4883988282
148	0.4883324446
149	0.4882562584
150	0.4882023428
151	0.4881376255
152	0.4879961537
153	0.4878784648
154	0.4878263907
155	0.4877654843
156	0.4876831747
157	0.487587224
158	0.487482322
159	0.4874041842
160	0.4873267295
161	0.4872754914
162	0.4872038582
163	0.4871433749
164	0.4870039506
165	0.4869575197
166	0.4868395814
167	0.4867200131
168	0.4866472698
169	0.4865788852
170	0.4864585825
171	0.4862927848
172	0.4861048897
173	0.485842671
174	0.4857340371
175	0.4856536281
176	0.4855218829
177	0.4854074469
178	0.485180678
179	0.4850758265
180	0.4848526333
181	0.4847783026
182	0.4847152234
183	0.4846374728
184	0.4845208004
185	0.4844414674
186	0.4843506323
187	0.4842579587
188	0.4841589033
189	0.4840834187
190	0.4838733524
191	0.4838440025
192	0.4837214941
193	0.4836550014
194	0.4835693688
195	0.4832724276
196	0.4831656882
197	0.483012549
198	0.4829504439
199	0.4828700383
200	0.4828116302
201	0.4827599004
202	0.4826882665
203	0.4825387062
204	0.4824420876
205	0.4823671532
206	0.4823117483
207	0.4822256843
208	0.4821869771
209	0.4821356921
210	0.4820415709
211	0.4819841509
212	0.4819359128
213	0.4818429759
214	0.4816634736
215	0.4815763403
216	0.4814997145
217	0.4811817371
218	0.4811269734
219	0.4810696359
220	0.4809847931
221	0.4807849162
222	0.4806824743
223	0.4806305384
224	0.4805822843
225	0.480379916
226	0.4803401831
227	0.4802891798
228	0.48020646
229	0.4801268121
230	0.4800569922
231	0.4799543258
232	0.4798941518
233	0.4797840324
234	0.4796908818
235	0.4796427963
236	0.4795494037
237	0.4794780009
238	0.4793986898
239	0.4793513963
240	0.4793033144
241	0.4791602763
242	0.479128109
243	0.4790358375
244	0.4788626299
245	0.4787492697
246	0.4786933686
247	0.4786390132
248	0.4785988884
249	0.4785526934
250	0.4784934549
251	0.4783917453
252	0.4783526799
253	0.4782782773
254	0.4782270381
255	0.4781655503
256	0.4780579835
257	0.4779384274
258	0.4778919505
259	0.4778385576
260	0.4776838699
261	0.4775882451
262	0.477494772
263	0.4774267857
264	0.4774031399
265	0.4773247663
266	0.4772426539
267	0.4771558251
268	0.4770741413
269	0.4770184977
270	0.4769774696
271	0.4767379035
272	0.4767041458
273	0.4766218336
274	0.4765517978
275	0.476478837
276	0.4763835986
277	0.4763054397
278	0.4762712816
279	0.4761833448
280	0.4761261038
281	0.475967341
282	0.4759210675
283	0.4758576549
284	0.4758187173
285	0.4756507886
286	0.475562095
287	0.4754936632
288	0.4754589262
289	0.4754102893
290	0.475313578
291	0.4749153483
292	0.4748379233
293	0.4747898734
294	0.4747525662
295	0.4747174909
296	0.4746172201
297	0.47458568
298	0.4744315429
299	0.4743694545
300	0.4743202102
301	0.4742932325
302	0.4742341909
303	0.4741662689
304	0.4741144874
305	0.4740153468
306	0.4739722729
307	0.4739007516
308	0.4738465137
309	0.4737090067
310	0.4736606445
311	0.4735233255
312	0.4734675037
313	0.4734261553
314	0.4733636205
315	0.4732127933
316	0.4731606749
317	0.4731288817
318	0.4730941917
319	0.4729320962
320	0.4728964336
321	0.4728154014
322	0.4726790405
323	0.4726153829
324	0.4725545005
325	0.4724898709
326	0.4724586961
327	0.4724383325
328	0.4723647061
329	0.4723216359
330	0.4722476615
331	0.4721745789
332	0.4720366556
333	0.4719280011
334	0.4717668637
335	0.4717344119
336	0.4716892357
337	0.4716557638
338	0.4715172387
339	0.4714824712
340	0.4714000073
341	0.4713668822
342	0.4713367764
343	0.4711900805
344	0.4711650238
345	0.4710634649
346	0.4709977879
347	0.4709819722
348	0.4708335731
349	0.4707649316
350	0.4707380529
351	0.4706938245
352	0.4706410687
353	0.4706120375
354	0.4705606047
355	0.4705303192
356	0.4704598621
357	0.4704003045
358	0.4703604322
359	0.4702970644
360	0.4702729214
361	0.4702110309
362	0.4701677195
363	0.4701272956
364	0.4700646344
365	0.4699024752
366	0.469871984
367	0.4698408179
368	0.4697818629
369	0.4697162482
370	0.4696914447
371	0.469655095
372	0.4695987332
373	0.4695549379
374	0.4695115
375	0.4694767009
376	0.4694355321
377	0.4693940319
378	0.4693488474
379	0.4692579713
380	0.469208825
381	0.4691617685
382	0.4691308694
383	0.4690913676
384	0.4690079331
385	0.4688830958
386	0.4688067004
387	0.4686624167
388	0.4686377059
389	0.4685859488
390	0.4685328545
391	0.4684362053
392	0.4683711174
393	0.4683468467
394	0.468297399
395	0.4682539679
396	0.4681942994
397	0.468160398
398	0.4681063705
399	0.4680752503
