iter	Passed	Remaining
284	54316	21917
285	54446	21702
286	54580	21489
287	54704	21273
288	54830	21059
289	54955	20845
290	55093	20636
291	55220	20424
292	55341	20210
293	55461	19996
294	55583	19783
295	55703	19571
296	55825	19360
297	55954	19152
298	56083	18944
299	56204	18734
300	56325	18525
301	56450	18318
302	56572	18110
303	56693	17903
304	56817	17697
305	56937	17490
306	57055	17283
307	57176	17078
308	57299	16874
309	57446	16678
310	57567	16474
311	57688	16271
312	57811	16069
313	57933	15867
314	58053	15665
315	58183	15466
316	58317	15269
317	58436	15068
318	58561	14869
319	58684	14671
320	58805	14472
321	58925	14273
322	59042	14075
323	59162	13877
324	59287	13681
325	59405	13484
326	59524	13288
327	59643	13092
328	59763	12897
329	59888	12703
330	60016	12511
331	60142	12318
332	60263	12125
333	60390	11933
334	60524	11743
335	60648	11552
336	60766	11359
337	60888	11168
338	61010	10978
339	61129	10787
340	61249	10597
341	61368	10407
342	61489	10218
343	61610	10029
344	61731	9841
345	61850	9652
346	61969	9465
347	62091	9277
348	62207	9090
349	62328	8904
350	62450	8718
351	62572	8532
352	62699	8348
353	62828	8164
354	62948	7979
355	63070	7795
356	63190	7611
357	63308	7427
358	63426	7243
359	63550	7061
360	63669	6878
361	63787	6695
362	63924	6515
363	64056	6335
364	64184	6154
365	64309	5974
366	64430	5793
367	64549	5612
368	64672	5433
369	64795	5253
370	64920	5074
371	65064	4897
372	65188	4718
373	65310	4540
374	65432	4362
375	65556	4184
376	65676	4006
377	65798	3829
378	65918	3652
379	66043	3475
380	66172	3299
381	66297	3123
382	66422	2948
383	66544	2772
384	66668	2597
385	66795	2422
386	66931	2248
387	67061	2074
388	67194	1900
389	67323	1726
390	67450	1552
391	67568	1378
392	67692	1205
393	67815	1032
394	67939	859
395	68063	687
396	68187	515
397	68318	343
398	68443	171
399	68567	0
